trackid,track_name,track_artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
7qfZ0ViYLmV3MKeZ0Z7htT,The Spins,['Mac Miller'],0.794,0.766,-3.894,0.0377,0.0135,0,0.0785,0.55,127.007
3IUiA6msgyFl3f8kzbdgQP,Forgive Me,['ODESZA'],0.663,0.827,-3.135,0.0372,0.0185,0.00104,0.265,0.395,104.985
6LNoArVBBVZzUTUiAX2aKO,Off The Grid,['Kanye West'],0.546,0.64,-5.582,0.37,0.0438,0,0.137,0.63,137.728
0prcukTRGW4cP0OdoTqe7z,BKLYNLDN,['Shura'],0.585,0.331,-11.313,0.0715,0.0649,0.000268,0.339,0.426,121.068
3TwAePhxn7pwkdHNwpWgvp,3AM,['DRAMA'],0.71,0.867,-5.489,0.0399,0.0514,0.0195,0.229,0.423,103.036
34itnB3u4NTwj9ctVfiPmC,Frozen (feat. 070 Shake),"['Madonna', 'Sickick', '070 Shake']",0.68,0.638,-6.324,0.0366,0.0352,0,0.137,0.23,110.004
5rZlwNFl01HqLWBQGryKSm,Mood Swings (feat. Lil Tjay),['Pop Smoke'],0.48,0.602,-6.335,0.368,0.487,0,0.0848,0.269,179.798
35DHCZvQcy8PIM0eJmVS1X,Running Around,['Goth Babe'],0.655,0.815,-9.202,0.247,0.378,0.00142,0.0819,0.555,100.052
2mKz0wGscPw1xnTvrTlQUi,Orange Blood,['Mt. Joy'],0.712,0.53,-9.842,0.0444,0.66,0.512,0.129,0.496,118.994
6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,['Joji'],0.44,0.317,-9.258,0.0531,0.891,4.78e-06,0.141,0.268,169.914
29d0nY7TzCoi22XBqDQkiP,Running Up That Hill (A Deal With God) - 2018 Remaster,['Kate Bush'],0.625,0.533,-11.903,0.0596,0.659,0.00266,0.0546,0.139,108.296
7DwcBgdzqhFJltEaV1XF81,Cooped Up (with Roddy Ricch),['Post Malone'],0.669,0.773,-5.619,0.153,0.038,0,0.113,0.377,93.923
0O6u0VJ46W86TxN9wgyqDj,I Like You (A Happier Song) (with Doja Cat),['Post Malone'],0.733,0.67,-6.009,0.0751,0.121,0,0.121,0.472,100.964
3kc9fFPBuP9DX9YCv0Gi0e,On A Prayer (feat. SHY Martin),"['Boy In Space', 'shy martin']",0.614,0.653,-5.854,0.0348,0.191,0,0.0659,0.382,143.914
6uvh0In7u1Xn4HgxOfAn8O,Matilda,['Harry Styles'],0.507,0.294,-10.0,0.04,0.896,1.97e-05,0.0966,0.386,114.199
40iJIUlhi6renaREYGeIDS,Fair Trade (with Travis Scott),['Drake'],0.666,0.465,-8.545,0.26,0.0503,0,0.215,0.292,167.937
6LxSe8YmdPxy095Ux6znaQ,Headlines,['Drake'],0.636,0.566,-7.16,0.106,0.365,0.000353,0.0917,0.425,151.894
6vs83ufnw4IVbotV0qv6C8,For My Friends,['King Princess'],0.472,0.683,-6.007,0.0694,0.0243,0,0.163,0.197,85.045
6QLNcOI6YCqdLAS6GLWXMj,Head on Fire,"['Griff', 'Sigrid']",0.693,0.728,-6.065,0.0335,0.0174,7.2e-06,0.061,0.655,95.978
3z2on8MIqR36OwtwI2aTtr,Black Coffee (feat. OCTAVIO the Dweeb),['AVIV'],0.625,0.692,-9.055,0.0302,0.00334,0.000278,0.625,0.68,131.963
2L79zW9LUnohYifrJDPBtg,Drowning in the Culture,['AVIV'],0.476,0.686,-7.558,0.0511,0.319,0.703,0.122,0.472,172.055
2E51gp6rrOPtfvmrk6wIL5,Mr Valentine,['YAZ'],0.618,0.565,-6.717,0.222,0.15,3.37e-06,0.0996,0.858,159.874
2wJ1eOCIBwoQiN7xQtrTAY,GROWING UP IS _____,['Ruel'],0.673,0.729,-5.664,0.029,0.000983,0.000107,0.226,0.482,112.535
5tm0PjvJrLgWlePHirgmo2,Bowie,['Marc E. Bassy'],0.79,0.83,-5.994,0.0457,0.0617,8.23e-05,0.0802,0.771,119.967
16taCB30HVklj9we8lMn3E,Bossa Nova Baby,"['Teddi Gold', 'Mi$HNRZ']",0.735,0.731,-5.526,0.0448,0.153,0.000136,0.149,0.94,150.074
1TDeDFUYHjZKLsO6bzoVg1,"OPEN A WINDOW (feat. Tyler, The Creator)",['Rex Orange County'],0.541,0.607,-7.174,0.0482,0.282,0,0.193,0.548,79.974
3OM6qQmdFV6uy61GIqpRtf,AMAZING,['Rex Orange County'],0.719,0.461,-8.191,0.0454,0.279,0,0.0875,0.548,123.915
4LRPiXqCikLlN15c3yImP7,As It Was,['Harry Styles'],0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93
40gooTta3y4FgzXaMOGDJL,I Can't Help But Feel,['Surfaces'],0.722,0.706,-4.552,0.0314,0.328,0,0.108,0.715,114.983
44kiDYXBx8Iju8iQPyldmO,Only When I Look into Your Eyes,['Fiji Blue'],0.725,0.694,-5.49,0.039,0.0566,4.54e-05,0.468,0.819,117.962
3Gplr4iOpewQ9ynbZujzlu,Dizzy (feat. Thomas Headon and Alfie Templeman),"['chloe moriondo', 'Thomas Headon', 'Alfie Templeman']",0.707,0.735,-5.237,0.0362,0.00896,4.78e-05,0.0433,0.762,129.965
6mh1v2YKd7cMe7ra7m37SB,NO WAY!,['Clubhouse'],0.902,0.569,-6.31,0.141,0.00893,0.000112,0.0655,0.664,114.979
4ZaXaOcUscPNx546exx7Bm,Wavin',['ARDN'],0.763,0.456,-11.165,0.168,0.0268,0.00607,0.106,0.45,74.987
4pvUifF5EPmy70TsS7nDI7,Til The Morning,['ARDN'],0.876,0.537,-6.521,0.341,0.281,0,0.269,0.845,125.0
3SlzwAZ8BH5xZvfQjpSChY,@elio.irl,['ELIO'],0.706,0.468,-7.326,0.0253,0.13,0.00135,0.102,0.768,105.015
0BLY78hYpsH9NqP6X0N8CX,Silk Chiffon,['MUNA'],0.622,0.736,-6.219,0.0444,0.0156,0,0.112,0.432,97.006
6IVsYkP3RWt3AwMeHOgDFF,Good Luck,['Abhi The Nomad'],0.876,0.75,-8.056,0.0568,0.383,1.19e-06,0.0963,0.978,115.985
3tBZ60j1jQ7NJm8IjelyQe,emo girl (feat. WILLOW),['Machine Gun Kelly'],0.412,0.881,-3.502,0.087,0.00039,5.82e-05,0.923,0.359,165.012
50eJOxJiGmJ7PBZaTKpje1,make up sex (feat. blackbear),['Machine Gun Kelly'],0.665,0.678,-4.122,0.0315,0.00156,0,0.474,0.682,131.986
6hNdvImmYlVa2wuhCAuodO,Better Now,"['ODESZA', 'The Knocks']",0.444,0.796,-5.826,0.111,0.326,2.08e-06,0.161,0.354,88.72
1ZP4Qxb7USL3EezbxfpOVF,Pool,"['Still Woozy', 'Remi Wolf']",0.664,0.477,-10.53,0.0551,0.394,4.15e-05,0.136,0.273,100.046
6tTeRmhhuwDl5Y4UiJdHuO,attention,"['Omah Lay', 'Justin Bieber']",0.817,0.72,-8.134,0.0809,0.172,0.000726,0.109,0.384,119.989
5plDUEEu4r5YEzHL8IhOs1,Can We Dance,['The Vamps'],0.639,0.843,-4.734,0.0464,0.00226,0,0.227,0.546,130.135
63CHa6rmamv9OsehkRD8oz,Against All Odds (Take a Look at Me Now) - 2016 Remaster,['Phil Collins'],0.58,0.498,-6.901,0.0277,0.198,0,0.132,0.111,116.271
2qyyYUtgUHhdzSeQQmuNHr,Sunshine,['Flight Facilities'],0.838,0.624,-8.618,0.0933,0.42,0.00269,0.863,0.929,111.015
3Y3nRbS2YvT8LsYxvDylny,Disconnected,['5 Seconds of Summer'],0.624,0.891,-4.812,0.083,0.12,0,0.223,0.693,99.945
6lZsx6j9CRmFZj7innWPo0,I Feel It Coming,['Eve St. Jones'],0.7,0.564,-11.012,0.0501,0.226,0.00012,0.109,0.748,156.089
3vySEUpD0tc801F2WZDLYw,Freaky Deaky,"['Tyga', 'Doja Cat']",0.799,0.653,-5.453,0.037,0.019,0,0.0935,0.236,104.019
4AZk9awBXJRVaLS7gOsaMO,Talk Down,['Dijon'],0.752,0.823,-6.267,0.139,0.182,0,0.213,0.709,112.888
0qyIfrncrrZQlx2jaffhYm,Room,['Ethan Tasch'],0.834,0.48,-9.227,0.0309,0.689,0.0518,0.141,0.67,114.034
3KzgdYUlqV6TOG7JCmx2Wg,Beyond the Sea,['Bobby Darin'],0.521,0.516,-7.456,0.0369,0.723,0,0.257,0.569,136.483
7gxW8hMXEUkc1G3m7z9vei,More - Remastered 2004,['Bobby Darin'],0.498,0.484,-8.74,0.0315,0.481,0,0.243,0.691,152.498
7lcI4X8RZxK4zIknJcwpBq,Bussin,"['Nicki Minaj', 'Lil Baby']",0.893,0.699,-8.059,0.0517,0.0576,3.02e-06,0.128,0.747,139.972
3kI3vRDwTbYs9O8svalUWu,No Choice,['Tame Impala'],0.491,0.85,-4.755,0.0987,0.00675,0.000985,0.118,0.648,180.027
2RqdwP5GhU18FTHbL1Bxfe,Simmer,['BAYNK'],0.849,0.336,-8.707,0.0662,0.718,0.274,0.147,0.25,114.04
0R5GHstZfGdRcfXrAcL7Sd,Off Limits,['BAYNK'],0.663,0.563,-8.072,0.309,0.483,0,0.0825,0.551,80.013
2iVjjM7DhbHTAmKJPKBKfx,Karma & Friends,['Cautious Clay'],0.548,0.579,-7.745,0.0252,0.0509,0.0201,0.239,0.45,87.963
4TH9ziBLOmWL5NN75uMust,Spinner,['Cautious Clay'],0.427,0.134,-15.888,0.0387,0.953,0,0.194,0.517,145.144
3iGCzn0q9bPnQZtxE646rP,Shook,['Cautious Clay'],0.693,0.694,-6.973,0.0533,0.344,0.000109,0.112,0.882,90.011
4yS9ZWOa02W2h8CgpACq55,High Risk Travel,['Cautious Clay'],0.715,0.257,-12.278,0.0462,0.755,0,0.208,0.631,117.019
6I3mqTwhRpn34SLVafSH7G,Ghost,['Justin Bieber'],0.601,0.741,-5.569,0.0478,0.185,2.91e-05,0.415,0.441,153.96
5J6rTmMjF9DVIAF8G3M9n4,Wandered To LA (with Justin Bieber),"['Juice WRLD', 'Justin Bieber']",0.687,0.645,-4.761,0.04,0.0509,2.96e-06,0.106,0.424,135.083
6NoTgpadvWX0qKEK6aJYsg,I FEEL IT (with Burna Boy),['Jon Bellion'],0.595,0.745,-5.059,0.0672,0.559,0.000798,0.0726,0.698,169.98
4dGuRldChjvboZktprNJFM,Hush - Still Woozy Remix,"['The Marías', 'Still Woozy']",0.708,0.554,-6.83,0.0311,0.403,0.0428,0.126,0.564,103.999
3kHeg5ydATqMcRJmeTfw71,there is a light,['Kacey Musgraves'],0.646,0.73,-7.185,0.0374,0.271,0.013,0.11,0.293,120.982
6JaZQ3gFgf2mH3p6jIbYI0,Cinnamon Girl,['ASL'],0.48,0.661,-4.43,0.0641,0.527,0.000132,0.125,0.263,151.822
5M3KOe4FGUidvRDUbFFdFk,Açaí Bowl,['Dominic Fike'],0.687,0.439,-8.347,0.0426,0.502,0.000367,0.109,0.352,91.972
1N9fCcMU7wCXbNO3EpwPkd,Speechless,['Nas'],0.642,0.832,-4.195,0.363,0.132,0,0.151,0.563,87.899
14246VCxRDGZHqlMlqWSz4,Wave Gods,['Nas'],0.601,0.938,-4.382,0.282,0.0225,0,0.0508,0.762,87.129
3LOCmWTAIUr7GjMNWgXaOb,The Truth,['Nas'],0.752,0.876,-2.639,0.19,0.0923,0,0.345,0.609,87.991
15hJmqqEtASVXl6sM7i4UF,trademark usa,['Baby Keem'],0.615,0.6,-5.62,0.27,0.107,1.61e-06,0.283,0.0661,130.027
4rmXVKUSU0PIblRyYFZHHi,M&M (with Future feat. Lil Baby),"['Rvssian', 'Future']",0.739,0.525,-5.52,0.386,0.257,0,0.111,0.418,139.086
7dZ3m1rCWupPB1H7gVpkdk,Ave Maria,['Mac Miller'],0.426,0.758,-4.674,0.25,0.0822,0,0.191,0.654,170.45
4d6z0mKVcnhE5x0YWvTexh,first order of business,['Baby Keem'],0.963,0.309,-8.456,0.315,0.0605,1.9e-05,0.108,0.579,132.04
02rdXe0KhMe8p6ZHzYtuw0,lost souls (with Brent Faiyaz),['Baby Keem'],0.649,0.347,-7.67,0.404,0.485,3.24e-05,0.154,0.176,169.994
4KruBnoVyraGgPHjp8tKtB,gorgeous,['Baby Keem'],0.788,0.505,-6.507,0.0476,0.0217,0,0.176,0.119,129.939
2tUL6dZf1mywCj5WvCPZw6,No Friends In The Industry,['Drake'],0.84,0.744,-4.751,0.113,0.0181,0,0.629,0.171,83.737
1MIGkQxcdAt2lDx6ySpsc5,SUVs (Black on Black),"['Jack Harlow', 'Pooh Shiesty']",0.801,0.688,-4.594,0.396,0.144,0,0.107,0.5,162.928
7Bpx2vsWfQFBACRz4h3IqH,family ties (with Kendrick Lamar),"['Baby Keem', 'Kendrick Lamar']",0.711,0.611,-5.453,0.329,0.00575,0,0.231,0.144,134.14
1KyZ4rUiW2lkqGNLQYKpcC,Roses Remix (feat. Future),"['SAINt JHN', 'Future']",0.941,0.463,-5.993,0.113,0.0247,5.53e-05,0.192,0.312,127.003
5bCmPv8ymn6TkphrMZKNzk,Kenny,['Still Woozy'],0.751,0.486,-10.73,0.0372,0.332,0.038,0.108,0.408,120.014
7rglLriMNBPAyuJOMGwi39,Cold Heart - PNAU Remix,['Elton John'],0.795,0.8,-6.32,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032
6f5ExP43esnvdKPddwKXJH,Better Days (NEIKED x Mae Muller x Polo G),"['NEIKED', 'Mae Muller', 'Polo G']",0.717,0.671,-5.077,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054
0vzv4fNNHbkVCTVGQwxxGw,Fix You,['Kacey Musgraves'],0.524,0.303,-8.879,0.0308,0.871,4.84e-06,0.0922,0.183,143.075
34eF4BoV8FPk0uhAAoqU7h,SUN GOES DOWN,['Lil Nas X'],0.551,0.636,-6.798,0.054,0.0837,4.28e-06,0.112,0.148,174.065
6IDf8qhBUUi8BUWYRqk1mB,Don't Freak,['The Aces'],0.646,0.898,-4.459,0.0751,0.00369,9.42e-06,0.273,0.728,102.997
6FRxFke9VsjXmibGgSeKki,Sweet Talker,"['Years & Years', 'Galantis']",0.429,0.905,-2.93,0.0512,0.228,0,0.0714,0.659,121.025
4zm8xZiV5FxJu62EHEvZaT,777,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']",0.836,0.622,-11.003,0.0946,0.00269,0.000566,0.335,0.892,102.015
7GuP2hQO9oprADjY3gRhCT,Fly As Me,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']",0.783,0.627,-8.521,0.102,0.00756,0,0.0606,0.48,100.025
0crw01bqnefvDUDjsuKraD,After Last Night (with Thundercat & Bootsy Collins),"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']",0.651,0.703,-8.958,0.0816,0.0297,0,0.0608,0.647,140.051
21afd9hCjpQ6lE5DPbcPHP,Blast Off,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']",0.482,0.548,-9.946,0.0373,0.0363,2.28e-06,0.3,0.346,76.017
6y3vemZ4p8iZQoZ0VRzdws,Waiting for You,['The Aces'],0.642,0.453,-8.333,0.0466,0.329,0,0.0721,0.496,82.046
26ZCR1Zd74fvBJvH1o1rbx,Daydream,['The Aces'],0.696,0.798,-5.541,0.0578,0.0862,0,0.384,0.817,107.018
43DHLzDkncpby82Po5jlOZ,Don't Stop Me Now,['Queen'],0.561,0.757,-10.061,0.192,0.0563,0.00127,0.558,0.64,156.432
6lJPTJCHgLQ4kr69SftElR,Girl At Home (Taylor's Version),['Taylor Swift'],0.691,0.736,-6.974,0.0326,0.00955,1.88e-05,0.101,0.612,125.089
0E5HkAPMmakOpRnxKJYqat,Skate,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']",0.708,0.598,-8.365,0.0291,0.037,0,0.17,0.698,112.027
00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),"['Post Malone', 'The Weeknd']",0.687,0.781,-4.806,0.053,0.0361,0,0.0755,0.688,97.014
0awZwmlC6pxH65KTZpadmX,Freakin' Out On the Interstate,['Briston Maroney'],0.45,0.794,-5.015,0.0538,0.388,0,0.303,0.362,143.861
0BJU3HPSwhJEg6xvXOgCBr,Uber (feat. Mike Jones),['Mac Miller'],0.537,0.737,-5.858,0.319,0.391,0.000333,0.115,0.617,170.177
5P4Dow1Jc2NhkknIuPi5Nd,Rain (feat. Vince Staples),['Mac Miller'],0.443,0.737,-5.943,0.332,0.528,0,0.186,0.68,177.462
1ijgY6IDvx5TwwfidroUsj,It Just Doesn’t Matter,['Mac Miller'],0.58,0.689,-6.637,0.104,0.449,0,0.276,0.778,96.878
6HQC66NOPyXDy4TEoO6WDE,What Do You Do (feat. Sir Michael Rocks),['Mac Miller'],0.665,0.72,-5.698,0.422,0.847,0,0.166,0.444,87.894
3BDpkLMkgrtrM3HckrVIXr,Diablo,['Mac Miller'],0.595,0.617,-4.238,0.31,0.0395,4.06e-06,0.619,0.464,159.83
0yeGmoyTowfULBiKwyq1AA,Jude St. Francis,['Jord'],0.627,0.5,-7.769,0.0327,0.444,3.5e-05,0.113,0.364,132.12
6LnZKT2R1jhUTXgwUPldIr,Out Of Jazzizity,['Savage Bops'],0.748,0.339,-5.753,0.0809,0.87,0.856,0.151,0.832,90.063
3AwP1m76J9EXtotkxLr71B,Volkiano,['Remi Wolf'],0.7,0.525,-7.275,0.0673,0.0156,0.000296,0.0967,0.359,89.48
5q3LwAHTqo9d3rET2EA9Nq,The Weekend,"['88rising', 'BIBI']",0.784,0.521,-5.701,0.0322,0.062,4.75e-06,0.0995,0.817,101.491
2AmwzGNdRdUknL9VP7Z7Hl,Runner,['Tennis'],0.531,0.831,-6.179,0.0411,0.0886,0.00266,0.106,0.667,157.266
1QgJQuhWLgyD1a3XFIKfYx,10 Minutes 10 Years - Audiotree Live Version,"['Tennis', 'Audiotree']",0.332,0.223,-11.171,0.029,0.986,0.0413,0.11,0.234,96.191
7rFQgzitCVulE9yT8sAj3V,Late Night,['Tennis'],0.468,0.643,-6.592,0.0271,0.00354,1.72e-05,0.271,0.247,113.446
3fykrNGAb2rlcoDMMwZv0P,Tender as a Tomb,['Tennis'],0.491,0.516,-8.986,0.033,0.901,0.233,0.109,0.493,176.116
7sTmKNOcJrx8wAnbXuLim1,No Exit,['Tennis'],0.839,0.619,-5.697,0.0409,0.364,0.00938,0.0626,0.961,128.025
4EIFBTyp0yoOTVOqUKUEQy,Superstar,['Tennis'],0.585,0.633,-5.308,0.0296,0.223,0.0291,0.269,0.525,97.714
5WE5rbNNFBrpqN0hKf7jsd,Shot At The Night,['Various Artists'],0.51,0.802,-4.903,0.0561,0.0917,0.0136,0.109,0.24,185.927
7aely3H8kMj9o0gt6vXHE1,Die For You (feat. Dominic Fike),['Justin Bieber'],0.728,0.629,-6.629,0.0318,0.00196,1.94e-06,0.0847,0.71,135.031
64PsLB0bc1LJoZwogWO3ok,good wife,['Kacey Musgraves'],0.523,0.582,-9.215,0.0619,0.429,0.000312,0.116,0.361,167.725
1viUV5EGlKGCiSveBfFeQg,I Won,"['Ty Dolla $ign', 'Jack Harlow', '24kGoldn']",0.762,0.788,-4.087,0.174,0.272,0,0.114,0.672,140.993
0FXykSplbleSXHvBcdRnOD,easier said,['Kacey Musgraves'],0.541,0.609,-8.077,0.0478,0.51,0.000668,0.102,0.381,147.828
6IbCvfmmICEEAyDwQ9zcbt,I Don't Wanna Talk (I Just Wanna Dance),['Glass Animals'],0.703,0.624,-6.228,0.0364,0.0156,5.53e-05,0.299,0.808,131.966
5Q1RHjYvlDjJjkqYh20Tb5,Helium,['Glass Animals'],0.272,0.307,-16.036,0.047,0.854,0.275,0.255,0.0476,91.429
7CHelZFdG67KvsIfXlFiMh,Tokyo Drifting,['Glass Animals'],0.715,0.438,-9.874,0.0575,0.12,0.000139,0.107,0.418,128.905
42HeiOUyKfihYER8j0fgdw,Hot Sugar,['Glass Animals'],0.705,0.487,-9.456,0.0587,0.0837,0.028,0.303,0.34,88.616
7EddPP8ev2m39vyG4hf8Tr,Dreamland,['Glass Animals'],0.253,0.352,-11.509,0.0357,0.883,0.00191,0.0668,0.099,141.97
1XrSjpNe49IiygZfzb74pk,What Once Was,"[""Her's""]",0.526,0.877,-4.369,0.033,0.172,0.0108,0.223,0.436,145.568
73uxnSsFMeJ15POpd3zgrV,Believe What I Say,['Kanye West'],0.595,0.656,-7.868,0.247,0.148,0,0.47,0.416,99.811
0RbW8kWozrVSIGb4V13o0o,Hurricane,['Kanye West'],0.587,0.561,-6.569,0.146,0.0466,0,0.109,0.351,80.009
2OrmNut03dgwjNa1DZ7eca,Make It Rain,['Patrice Roberts'],0.723,0.591,-8.912,0.0423,0.415,0,0.107,0.627,103.013
56QzkBVeWQctBXAqDhvJ4S,Caroline,['Boy In Space'],0.604,0.637,-7.022,0.0361,0.0543,0,0.168,0.537,140.082
6BvtitRX5lQC87YlA6rq0n,Bubblin,['Anderson .Paak'],0.568,0.873,-5.22,0.265,0.0731,0,0.367,0.547,106.783
2RkZZh5XQ4y3sG8gCu96Tz,I Like That,['Bazzi'],0.665,0.692,-5.431,0.112,0.172,0,0.191,0.68,74.474
4NBYId6eoacEMJDkhfTPG7,Coney Island,['SEB'],0.689,0.704,-8.453,0.0325,0.201,3.05e-05,0.112,0.653,121.984
5vB4KvbjsFLK2N6wXL1S1z,Dead End,['Boy In Space'],0.473,0.457,-7.592,0.086,0.684,1.51e-06,0.124,0.286,79.822
6BPRVYCuvrRZywdkAoppMC,Remember Me,['Boy In Space'],0.663,0.559,-7.568,0.0339,0.0825,0,0.111,0.359,99.966
1gqo6zPxu0dEjLv7WLYN8I,Drown,['Boy In Space'],0.42,0.335,-7.957,0.0384,0.412,0,0.0909,0.205,119.073
4cB00WOFuQFLoDpnydcx8c,7UP,['Boy In Space'],0.616,0.469,-7.38,0.027,0.0167,0,0.111,0.233,135.035
5jYe1mOKg5zUx0enf1DOdz,Cold,"['Boy In Space', 'unheard']",0.711,0.412,-6.827,0.0445,0.184,0,0.0546,0.186,130.015
3Qj2f7BrpJNGj3dbxKpOlp,California (feat. Warren Hue),"['88rising', 'Rich Brian', 'NIKI']",0.743,0.631,-5.815,0.0302,0.633,0,0.0963,0.428,141.955
1uMHCAyGmHqyygoNRuo7MV,edamame (feat. Rich Brian),"['bbno$', 'Rich Brian']",0.815,0.848,-4.704,0.115,0.023,0.000162,0.0265,0.684,106.032
1SgUjGzbmmMOsGFTVwQ59L,seaside_demo,['SEB'],0.706,0.824,-7.959,0.0694,0.355,0.000133,0.111,0.86,94.98
7v96VvFLS0wSYT8kewNLRy,24 (feat. Lil Baby),['Money Man'],0.868,0.638,-7.746,0.0736,0.146,0.0565,0.0931,0.459,126.03
6lJbA3HMQlOI2JMdKbBKDi,The Break Up,['Machine Gun Kelly'],0.771,0.713,-6.755,0.0643,0.00265,1.97e-06,0.105,0.235,130.095
3BqHafmDs7SJVohRT0T6jU,sunday,['Joy Oladokun'],0.641,0.476,-8.988,0.0403,0.108,0,0.153,0.367,75.992
2CIYemjFXdmCWpJnfbtrD6,New Normal,['Khalid'],0.39,0.534,-9.575,0.0709,0.0807,0,0.184,0.244,92.047
4TIqzdAssasqx3DAe6cG9J,Ramen & OJ,"['Joyner Lucas', 'Lil Baby']",0.597,0.571,-6.205,0.293,0.492,0,0.093,0.165,106.196
1e1HFMTEfxwdJh8cCQmtD4,A Bitch Curious (feat. Sam Truth),['AG Club'],0.746,0.713,-5.482,0.217,0.0949,2.08e-06,0.312,0.324,90.978
7dMelypWXvdBG5RpRO1RJU,Purple Candy,['New Friends'],0.579,0.625,-8.921,0.0267,0.47,2.97e-06,0.107,0.334,95.009
0KmgJyW4GDgonqsoyx0CZ3,Astronomy,['Conan Gray'],0.471,0.335,-8.767,0.0273,0.593,2.11e-05,0.297,0.111,145.252
0NHBjddjKTkJQvEb5oTilt,Back To My Bed,['Elderbrook'],0.771,0.729,-7.554,0.0372,0.313,0.00452,0.236,0.689,124.047
7D0RhFcb3CrfPuTJ0obrod,Sparks,['Coldplay'],0.371,0.268,-10.506,0.0281,0.748,0.0517,0.104,0.165,102.617
6BXHCHzw706smnLQdCIDUy,Go Away,['Omar Apollo'],0.634,0.568,-7.757,0.0354,0.0426,1.85e-06,0.456,0.369,123.885
5ajjAnNRh8bxFvaVHzpPjh,Reckless,['Madison Beer'],0.386,0.426,-6.642,0.0363,0.807,0,0.14,0.261,180.104
4CbrNGvwVjneG8Nk9YQqMR,A-O-K,['Tai Verdes'],0.731,0.626,-6.919,0.0805,0.125,0,0.183,0.862,82.488
40uMIn2zJLAQhNXghRjBed,Motley Crew,['Post Malone'],0.797,0.631,-3.818,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915
2IePEfMAtqWS6rLXXFZIgI,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","['Internet Money', 'Gunna']",0.792,0.707,-5.218,0.0623,0.116,0,0.12,0.408,134.997
3VqeTFIvhxu3DIe4eZVzGq,Butter,['BTS'],0.759,0.459,-5.187,0.0948,0.00323,0,0.0906,0.695,109.997
2JPLbjOn0wPCngEot2STUS,Yonaguni,['Bad Bunny'],0.644,0.648,-4.601,0.118,0.276,0,0.135,0.44,179.951
4rPkN1FMzQyFNP9cLUGIIB,Love Again,['Dua Lipa'],0.659,0.667,-4.668,0.0339,0.00173,2.85e-05,0.1,0.468,115.982
2cc8Sw1OnCuA5bV8nqWqpE,You,"['Regard', 'Troye Sivan', 'Tate McRae']",0.691,0.695,-5.6,0.0367,0.0592,0,0.0647,0.514,106.064
4kcuzPfVaPlElWRv9jNGHi,Get Down,['Still Woozy'],0.761,0.553,-8.318,0.156,0.296,1.74e-05,0.194,0.367,87.487
3YJJjQPAbDT7mGpX3WtQ9A,Good Days,['SZA'],0.436,0.655,-8.37,0.0583,0.499,8.1e-06,0.688,0.412,121.002
4qu63nuBpdn0qHUHuObEj1,Leave Before You Love Me (with Jonas Brothers),"['Marshmello', 'Jonas Brothers']",0.721,0.738,-4.77,0.0403,0.00226,4.41e-06,0.118,0.637,119.976
27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,['The Kid LAROI'],0.662,0.413,-7.357,0.0299,0.213,0,0.134,0.467,93.005
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),"['The Kid LAROI', 'Justin Bieber']",0.591,0.764,-5.484,0.0483,0.0383,0,0.103,0.478,169.928
6nL0wIy3rcQPqHNAtm61Gh,Sunshine (The Light),"['Fat Joe', 'DJ Khaled', 'Amorphous']",0.8,0.832,-5.497,0.266,0.087,0,0.322,0.736,106.983
3pFs5g6H6twH454xbaxHDM,Ghosts 'n' Stuff (feat. Rob Swire) - Radio Edit,['deadmau5'],0.536,0.821,-5.353,0.0897,7.61e-05,0.00443,0.619,0.36,127.991
3JsmrruMp8AWcbEZ4342JY,Sad Songs (feat. L Devine),"['Route 94', 'L Devine']",0.7,0.816,-5.439,0.0361,0.091,0.119,0.0729,0.632,123.986
3syIqcdNRjbFcWkEMRRT1d,damn Right Pt. 2,"['AUDREY NUNA', 'DJ Snake']",0.75,0.95,-2.938,0.194,0.077,0.000332,0.161,0.623,81.019
0FYc9DIr89rbzt2WJMvyou,Get Into It (Yuh),['Doja Cat'],0.912,0.655,-6.029,0.162,0.315,3.39e-05,0.0894,0.793,91.942
5cOyxjetBT7kRnqL68madd,Kiss Me More (feat. SZA),['Doja Cat'],0.764,0.705,-3.463,0.0284,0.259,8.92e-05,0.12,0.781,110.97
5GQpKsz2Gn2PwbPIwHlRqv,"you’ve changed, i’ve changed","['San Holo', 'Chet Porter']",0.416,0.623,-7.898,0.045,0.121,0.00225,0.27,0.194,130.175
