trackid,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
2zO4ZLlrlmhxnNXjuLcYpc,0.572,0.527,-5.008,0.114,0.33,0,0.195,0.271,109.708,Alternative
62AK7zb4DPYlyQsvlLqcEC,0.724,0.609,-7.978,0.0359,0.0392,0.00458,0.252,0.562,114.969,Asian Music
4kF394GKEnI13QdZBM9mxM,0.418,0.109,-14.113,0.0409,0.995,0.00379,0.12,0.227,116.913,Rap/Hip Hop
2eYY43d0V17SxOX0g7sBAD,0.568,0.714,-8.228,0.368,0.099,0.00522,0.116,0.508,150.024,Electro
7uTqmYA0sSjmDVpQNGDz7j,0.551,0.865,-4.616,0.0406,0.000668,0,0.108,0.702,140.036,Pop
5ti3pAj9M9HlnXrjUiO232,0.756,0.59,-7.922,0.0353,0.221,4.75e-05,0.122,0.24,122.043,Pop
3rgnM3MBkpsuVeSwmtXYia,0.706,0.751,-5.801,0.0829,0.114,0,0.0833,0.788,172.027,Asian Music
1CViPSuBCYHDbqjaJU1Ot0,0.73,0.655,-5.742,0.24,0.0596,0,0.242,0.43,95.688,R&B
2bUyKAHjQ58o6gQNh5uyf1,0.403,0.882,-7.265,0.119,0.326,0.00101,0.298,0.503,161.09,R&B
64CqXq0In0wKZ6eHo8bEwZ,0.675,0.897,-5.038,0.0416,0.0231,0.0375,0.539,0.724,92.014,Rap/Hip Hop
5rHoZOh481VFV9kJovM9RI,0.541,0.75,-6.799,0.0346,8.73e-05,0.615,0.129,0.164,134.972,Rap/Hip Hop
3gmn76fCtpDazGMnN0QMHX,0.924,0.563,-7.899,0.0802,0.0879,0,0.103,0.872,117.06,R&B
5yK37zazHUe3WxEvymZs20,0.732,0.464,-8.591,0.301,0.309,0,0.107,0.353,82.494,Singer & Songwriter
345sHgHwTuVFfOLl7dJHxD,0.619,0.396,-9.081,0.0334,0.579,0,0.117,0.289,132.999,Pop
6FAsJDkg4y5JSWP9ZMKlDj,0.625,0.568,-5.663,0.0324,0.288,0,0.674,0.348,85.545,Rap/Hip Hop
0soD1tafoSKyz7z8c1IW5c,0.702,0.521,-7.67,0.0761,0.0587,2.45e-05,0.0912,0.49,179.993,Pop
2bdVgAQgosGUJoViVDNeOV,0.577,0.366,-11.792,0.0368,0.879,7.76e-05,0.137,0.0841,129.923,R&B
5wxYxygyHpbgv0EXZuqb9V,0.681,0.821,-5.12,0.131,0.532,0.00111,0.0921,0.813,94.074,Electro
0xaFw2zDYf1rIJWl2dXiSF,0.665,0.59,-7.608,0.161,0.763,0.0132,0.147,0.216,77.559,Alternative
1udwFobQ1JoOdWPQrp2b6u,0.575,0.56,-7.302,0.478,0.173,0,0.257,0.471,75.956,Electro
2GAhgAjOhEmItWLfgisyOn,0.698,0.546,-7.234,0.0559,0.425,0.00314,0.16,0.335,145.044,Electro
1d7q712nXjG98HiwHk7HFS,0.699,0.759,-5.302,0.311,0.0814,0,0.312,0.404,83.092,Reggae
6AshXllQhobwSXsdpgp41w,0.535,0.819,-6.792,0.455,0.584,0,0.16,0.581,150.451,Alternative
0vbmYCIWENdYyJ36Q4CdSz,0.773,0.623,-6.53,0.0983,0.24,3.56e-05,0.148,0.528,147.826,Alternative
