trackid,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
6IVsYkP3RWt3AwMeHOgDFF,0.876,0.75,-8.056,0.0568,0.383,1.19e-06,0.0963,0.978,115.985,Pop
3tBZ60j1jQ7NJm8IjelyQe,0.412,0.881,-3.502,0.087,0.00039,5.82e-05,0.923,0.359,165.012,Country
50eJOxJiGmJ7PBZaTKpje1,0.665,0.678,-4.122,0.0315,0.00156,0,0.474,0.682,131.986,Alternative
6hNdvImmYlVa2wuhCAuodO,0.444,0.796,-5.826,0.111,0.326,2.08e-06,0.161,0.354,88.72,Alternative
1ZP4Qxb7USL3EezbxfpOVF,0.664,0.477,-10.53,0.0551,0.394,4.15e-05,0.136,0.273,100.046,Pop
6tTeRmhhuwDl5Y4UiJdHuO,0.817,0.72,-8.134,0.0809,0.172,0.000726,0.109,0.384,119.989,Pop
5plDUEEu4r5YEzHL8IhOs1,0.639,0.843,-4.734,0.0464,0.00226,0,0.227,0.546,130.135,Pop
63CHa6rmamv9OsehkRD8oz,0.58,0.498,-6.901,0.0277,0.198,0,0.132,0.111,116.271,Pop
2qyyYUtgUHhdzSeQQmuNHr,0.838,0.624,-8.618,0.0933,0.42,0.00269,0.863,0.929,111.015,Alternative
3Y3nRbS2YvT8LsYxvDylny,0.624,0.891,-4.812,0.083,0.12,0,0.223,0.693,99.945,Alternative
6lZsx6j9CRmFZj7innWPo0,0.7,0.564,-11.012,0.0501,0.226,0.00012,0.109,0.748,156.089,Rock
3vySEUpD0tc801F2WZDLYw,0.799,0.653,-5.453,0.037,0.019,0,0.0935,0.236,104.019,Alternative
4AZk9awBXJRVaLS7gOsaMO,0.752,0.823,-6.267,0.139,0.182,0,0.213,0.709,112.888,Rap/Hip Hop
0qyIfrncrrZQlx2jaffhYm,0.834,0.48,-9.227,0.0309,0.689,0.0518,0.141,0.67,114.034,Rap/Hip Hop
3KzgdYUlqV6TOG7JCmx2Wg,0.521,0.516,-7.456,0.0369,0.723,0,0.257,0.569,136.483,Rap/Hip Hop
7gxW8hMXEUkc1G3m7z9vei,0.498,0.484,-8.74,0.0315,0.481,0,0.243,0.691,152.498,Rap/Hip Hop
7lcI4X8RZxK4zIknJcwpBq,0.893,0.699,-8.059,0.0517,0.0576,3.02e-06,0.128,0.747,139.972,Rap/Hip Hop
3kI3vRDwTbYs9O8svalUWu,0.491,0.85,-4.755,0.0987,0.00675,0.000985,0.118,0.648,180.027,Pop
2RqdwP5GhU18FTHbL1Bxfe,0.849,0.336,-8.707,0.0662,0.718,0.274,0.147,0.25,114.04,Rap/Hip Hop
0R5GHstZfGdRcfXrAcL7Sd,0.663,0.563,-8.072,0.309,0.483,0,0.0825,0.551,80.013,Pop
2iVjjM7DhbHTAmKJPKBKfx,0.548,0.579,-7.745,0.0252,0.0509,0.0201,0.239,0.45,87.963,Pop
4TH9ziBLOmWL5NN75uMust,0.427,0.134,-15.888,0.0387,0.953,0,0.194,0.517,145.144,Pop
3iGCzn0q9bPnQZtxE646rP,0.693,0.694,-6.973,0.0533,0.344,0.000109,0.112,0.882,90.011,Alternative
4yS9ZWOa02W2h8CgpACq55,0.715,0.257,-12.278,0.0462,0.755,0,0.208,0.631,117.019,Alternative
6I3mqTwhRpn34SLVafSH7G,0.601,0.741,-5.569,0.0478,0.185,2.91e-05,0.415,0.441,153.96,Alternative
5J6rTmMjF9DVIAF8G3M9n4,0.687,0.645,-4.761,0.04,0.0509,2.96e-06,0.106,0.424,135.083,Alternative
6NoTgpadvWX0qKEK6aJYsg,0.595,0.745,-5.059,0.0672,0.559,0.000798,0.0726,0.698,169.98,Country
4dGuRldChjvboZktprNJFM,0.708,0.554,-6.83,0.0311,0.403,0.0428,0.126,0.564,103.999,Films/Games
3kHeg5ydATqMcRJmeTfw71,0.646,0.73,-7.185,0.0374,0.271,0.013,0.11,0.293,120.982,Country
6JaZQ3gFgf2mH3p6jIbYI0,0.48,0.661,-4.43,0.0641,0.527,0.000132,0.125,0.263,151.822,Pop
5M3KOe4FGUidvRDUbFFdFk,0.687,0.439,-8.347,0.0426,0.502,0.000367,0.109,0.352,91.972,Pop
1N9fCcMU7wCXbNO3EpwPkd,0.642,0.832,-4.195,0.363,0.132,0,0.151,0.563,87.899,Pop
14246VCxRDGZHqlMlqWSz4,0.601,0.938,-4.382,0.282,0.0225,0,0.0508,0.762,87.129,Pop
3LOCmWTAIUr7GjMNWgXaOb,0.752,0.876,-2.639,0.19,0.0923,0,0.345,0.609,87.991,Alternative
15hJmqqEtASVXl6sM7i4UF,0.615,0.6,-5.62,0.27,0.107,1.61e-06,0.283,0.0661,130.027,Rap/Hip Hop
4rmXVKUSU0PIblRyYFZHHi,0.739,0.525,-5.52,0.386,0.257,0,0.111,0.418,139.086,Rap/Hip Hop
7dZ3m1rCWupPB1H7gVpkdk,0.426,0.758,-4.674,0.25,0.0822,0,0.191,0.654,170.45,Reggae
4d6z0mKVcnhE5x0YWvTexh,0.963,0.309,-8.456,0.315,0.0605,1.9e-05,0.108,0.579,132.04,Pop
02rdXe0KhMe8p6ZHzYtuw0,0.649,0.347,-7.67,0.404,0.485,3.24e-05,0.154,0.176,169.994,Rap/Hip Hop
4KruBnoVyraGgPHjp8tKtB,0.788,0.505,-6.507,0.0476,0.0217,0,0.176,0.119,129.939,Pop
2tUL6dZf1mywCj5WvCPZw6,0.84,0.744,-4.751,0.113,0.0181,0,0.629,0.171,83.737,Pop
1MIGkQxcdAt2lDx6ySpsc5,0.801,0.688,-4.594,0.396,0.144,0,0.107,0.5,162.928,Pop
7Bpx2vsWfQFBACRz4h3IqH,0.711,0.611,-5.453,0.329,0.00575,0,0.231,0.144,134.14,Pop
1KyZ4rUiW2lkqGNLQYKpcC,0.941,0.463,-5.993,0.113,0.0247,5.53e-05,0.192,0.312,127.003,Pop
5bCmPv8ymn6TkphrMZKNzk,0.751,0.486,-10.73,0.0372,0.332,0.038,0.108,0.408,120.014,Pop
7rglLriMNBPAyuJOMGwi39,0.795,0.8,-6.32,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032,Pop
6f5ExP43esnvdKPddwKXJH,0.717,0.671,-5.077,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,Rap/Hip Hop
0vzv4fNNHbkVCTVGQwxxGw,0.524,0.303,-8.879,0.0308,0.871,4.84e-06,0.0922,0.183,143.075,Pop
34eF4BoV8FPk0uhAAoqU7h,0.551,0.636,-6.798,0.054,0.0837,4.28e-06,0.112,0.148,174.065,Rap/Hip Hop
6IDf8qhBUUi8BUWYRqk1mB,0.646,0.898,-4.459,0.0751,0.00369,9.42e-06,0.273,0.728,102.997,Pop
6FRxFke9VsjXmibGgSeKki,0.429,0.905,-2.93,0.0512,0.228,0,0.0714,0.659,121.025,Rap/Hip Hop
4zm8xZiV5FxJu62EHEvZaT,0.836,0.622,-11.003,0.0946,0.00269,0.000566,0.335,0.892,102.015,Pop
7GuP2hQO9oprADjY3gRhCT,0.783,0.627,-8.521,0.102,0.00756,0,0.0606,0.48,100.025,Electro
0crw01bqnefvDUDjsuKraD,0.651,0.703,-8.958,0.0816,0.0297,0,0.0608,0.647,140.051,Rock
21afd9hCjpQ6lE5DPbcPHP,0.482,0.548,-9.946,0.0373,0.0363,2.28e-06,0.3,0.346,76.017,Alternative
6y3vemZ4p8iZQoZ0VRzdws,0.642,0.453,-8.333,0.0466,0.329,0,0.0721,0.496,82.046,Pop
26ZCR1Zd74fvBJvH1o1rbx,0.696,0.798,-5.541,0.0578,0.0862,0,0.384,0.817,107.018,Rap/Hip Hop
43DHLzDkncpby82Po5jlOZ,0.561,0.757,-10.061,0.192,0.0563,0.00127,0.558,0.64,156.432,Asian Music
6lJPTJCHgLQ4kr69SftElR,0.691,0.736,-6.974,0.0326,0.00955,1.88e-05,0.101,0.612,125.089,Reggaeton
0E5HkAPMmakOpRnxKJYqat,0.708,0.598,-8.365,0.0291,0.037,0,0.17,0.698,112.027,Pop
00Blm7zeNqgYLPtW6zg8cj,0.687,0.781,-4.806,0.053,0.0361,0,0.0755,0.688,97.014,Dance
0awZwmlC6pxH65KTZpadmX,0.45,0.794,-5.015,0.0538,0.388,0,0.303,0.362,143.861,Pop
0BJU3HPSwhJEg6xvXOgCBr,0.537,0.737,-5.858,0.319,0.391,0.000333,0.115,0.617,170.177,Rap/Hip Hop
5P4Dow1Jc2NhkknIuPi5Nd,0.443,0.737,-5.943,0.332,0.528,0,0.186,0.68,177.462,Dance
1ijgY6IDvx5TwwfidroUsj,0.58,0.689,-6.637,0.104,0.449,0,0.276,0.778,96.878,Dance
6HQC66NOPyXDy4TEoO6WDE,0.665,0.72,-5.698,0.422,0.847,0,0.166,0.444,87.894,Dance
3BDpkLMkgrtrM3HckrVIXr,0.595,0.617,-4.238,0.31,0.0395,4.06e-06,0.619,0.464,159.83,Pop
0yeGmoyTowfULBiKwyq1AA,0.627,0.5,-7.769,0.0327,0.444,3.5e-05,0.113,0.364,132.12,Pop
6LnZKT2R1jhUTXgwUPldIr,0.748,0.339,-5.753,0.0809,0.87,0.856,0.151,0.832,90.063,Electro
3AwP1m76J9EXtotkxLr71B,0.7,0.525,-7.275,0.0673,0.0156,0.000296,0.0967,0.359,89.48,Rap/Hip Hop
5q3LwAHTqo9d3rET2EA9Nq,0.784,0.521,-5.701,0.0322,0.062,4.75e-06,0.0995,0.817,101.491,Pop
2AmwzGNdRdUknL9VP7Z7Hl,0.531,0.831,-6.179,0.0411,0.0886,0.00266,0.106,0.667,157.266,Rap/Hip Hop
1QgJQuhWLgyD1a3XFIKfYx,0.332,0.223,-11.171,0.029,0.986,0.0413,0.11,0.234,96.191,Alternative
7rFQgzitCVulE9yT8sAj3V,0.468,0.643,-6.592,0.0271,0.00354,1.72e-05,0.271,0.247,113.446,Electro
3fykrNGAb2rlcoDMMwZv0P,0.491,0.516,-8.986,0.033,0.901,0.233,0.109,0.493,176.116,Pop
7sTmKNOcJrx8wAnbXuLim1,0.839,0.619,-5.697,0.0409,0.364,0.00938,0.0626,0.961,128.025,Reggae
4EIFBTyp0yoOTVOqUKUEQy,0.585,0.633,-5.308,0.0296,0.223,0.0291,0.269,0.525,97.714,Pop
5WE5rbNNFBrpqN0hKf7jsd,0.51,0.802,-4.903,0.0561,0.0917,0.0136,0.109,0.24,185.927,R&B
7aely3H8kMj9o0gt6vXHE1,0.728,0.629,-6.629,0.0318,0.00196,1.94e-06,0.0847,0.71,135.031,Rock
64PsLB0bc1LJoZwogWO3ok,0.523,0.582,-9.215,0.0619,0.429,0.000312,0.116,0.361,167.725,Rock
1viUV5EGlKGCiSveBfFeQg,0.762,0.788,-4.087,0.174,0.272,0,0.114,0.672,140.993,Alternative
0FXykSplbleSXHvBcdRnOD,0.541,0.609,-8.077,0.0478,0.51,0.000668,0.102,0.381,147.828,Pop
6IbCvfmmICEEAyDwQ9zcbt,0.703,0.624,-6.228,0.0364,0.0156,5.53e-05,0.299,0.808,131.966,Pop
5Q1RHjYvlDjJjkqYh20Tb5,0.272,0.307,-16.036,0.047,0.854,0.275,0.255,0.0476,91.429,Rap/Hip Hop
7CHelZFdG67KvsIfXlFiMh,0.715,0.438,-9.874,0.0575,0.12,0.000139,0.107,0.418,128.905,Pop
42HeiOUyKfihYER8j0fgdw,0.705,0.487,-9.456,0.0587,0.0837,0.028,0.303,0.34,88.616,Pop
7EddPP8ev2m39vyG4hf8Tr,0.253,0.352,-11.509,0.0357,0.883,0.00191,0.0668,0.099,141.97,Dance
1XrSjpNe49IiygZfzb74pk,0.526,0.877,-4.369,0.033,0.172,0.0108,0.223,0.436,145.568,Rap/Hip Hop
73uxnSsFMeJ15POpd3zgrV,0.595,0.656,-7.868,0.247,0.148,0,0.47,0.416,99.811,Rap/Hip Hop
0RbW8kWozrVSIGb4V13o0o,0.587,0.561,-6.569,0.146,0.0466,0,0.109,0.351,80.009,Pop
2OrmNut03dgwjNa1DZ7eca,0.723,0.591,-8.912,0.0423,0.415,0,0.107,0.627,103.013,Rap/Hip Hop
56QzkBVeWQctBXAqDhvJ4S,0.604,0.637,-7.022,0.0361,0.0543,0,0.168,0.537,140.082,Rap/Hip Hop
6BvtitRX5lQC87YlA6rq0n,0.568,0.873,-5.22,0.265,0.0731,0,0.367,0.547,106.783,Pop
2RkZZh5XQ4y3sG8gCu96Tz,0.665,0.692,-5.431,0.112,0.172,0,0.191,0.68,74.474,Rap/Hip Hop
4NBYId6eoacEMJDkhfTPG7,0.689,0.704,-8.453,0.0325,0.201,3.05e-05,0.112,0.653,121.984,Pop
5vB4KvbjsFLK2N6wXL1S1z,0.473,0.457,-7.592,0.086,0.684,1.51e-06,0.124,0.286,79.822,Pop
6BPRVYCuvrRZywdkAoppMC,0.663,0.559,-7.568,0.0339,0.0825,0,0.111,0.359,99.966,Rap/Hip Hop
1gqo6zPxu0dEjLv7WLYN8I,0.42,0.335,-7.957,0.0384,0.412,0,0.0909,0.205,119.073,Dance
4cB00WOFuQFLoDpnydcx8c,0.616,0.469,-7.38,0.027,0.0167,0,0.111,0.233,135.035,Pop
5jYe1mOKg5zUx0enf1DOdz,0.711,0.412,-6.827,0.0445,0.184,0,0.0546,0.186,130.015,Dance
3Qj2f7BrpJNGj3dbxKpOlp,0.743,0.631,-5.815,0.0302,0.633,0,0.0963,0.428,141.955,Electro
1uMHCAyGmHqyygoNRuo7MV,0.815,0.848,-4.704,0.115,0.023,0.000162,0.0265,0.684,106.032,Electro
1SgUjGzbmmMOsGFTVwQ59L,0.706,0.824,-7.959,0.0694,0.355,0.000133,0.111,0.86,94.98,Singer & Songwriter
7v96VvFLS0wSYT8kewNLRy,0.868,0.638,-7.746,0.0736,0.146,0.0565,0.0931,0.459,126.03,Alternative
6lJbA3HMQlOI2JMdKbBKDi,0.771,0.713,-6.755,0.0643,0.00265,1.97e-06,0.105,0.235,130.095,Pop
3BqHafmDs7SJVohRT0T6jU,0.641,0.476,-8.988,0.0403,0.108,0,0.153,0.367,75.992,Pop
2CIYemjFXdmCWpJnfbtrD6,0.39,0.534,-9.575,0.0709,0.0807,0,0.184,0.244,92.047,Electro
4TIqzdAssasqx3DAe6cG9J,0.597,0.571,-6.205,0.293,0.492,0,0.093,0.165,106.196,Soul & Funk
1e1HFMTEfxwdJh8cCQmtD4,0.746,0.713,-5.482,0.217,0.0949,2.08e-06,0.312,0.324,90.978,Rap/Hip Hop
7dMelypWXvdBG5RpRO1RJU,0.579,0.625,-8.921,0.0267,0.47,2.97e-06,0.107,0.334,95.009,Alternative
0KmgJyW4GDgonqsoyx0CZ3,0.471,0.335,-8.767,0.0273,0.593,2.11e-05,0.297,0.111,145.252,Rap/Hip Hop
0NHBjddjKTkJQvEb5oTilt,0.771,0.729,-7.554,0.0372,0.313,0.00452,0.236,0.689,124.047,Rap/Hip Hop
7D0RhFcb3CrfPuTJ0obrod,0.371,0.268,-10.506,0.0281,0.748,0.0517,0.104,0.165,102.617,Alternative
6BXHCHzw706smnLQdCIDUy,0.634,0.568,-7.757,0.0354,0.0426,1.85e-06,0.456,0.369,123.885,Alternative
5ajjAnNRh8bxFvaVHzpPjh,0.386,0.426,-6.642,0.0363,0.807,0,0.14,0.261,180.104,Alternative
4CbrNGvwVjneG8Nk9YQqMR,0.731,0.626,-6.919,0.0805,0.125,0,0.183,0.862,82.488,Country
40uMIn2zJLAQhNXghRjBed,0.797,0.631,-3.818,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915,Alternative
2IePEfMAtqWS6rLXXFZIgI,0.792,0.707,-5.218,0.0623,0.116,0,0.12,0.408,134.997,Alternative
3VqeTFIvhxu3DIe4eZVzGq,0.759,0.459,-5.187,0.0948,0.00323,0,0.0906,0.695,109.997,Alternative
2JPLbjOn0wPCngEot2STUS,0.644,0.648,-4.601,0.118,0.276,0,0.135,0.44,179.951,Pop
4rPkN1FMzQyFNP9cLUGIIB,0.659,0.667,-4.668,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,Alternative
2cc8Sw1OnCuA5bV8nqWqpE,0.691,0.695,-5.6,0.0367,0.0592,0,0.0647,0.514,106.064,Alternative
4kcuzPfVaPlElWRv9jNGHi,0.761,0.553,-8.318,0.156,0.296,1.74e-05,0.194,0.367,87.487,Rock
3YJJjQPAbDT7mGpX3WtQ9A,0.436,0.655,-8.37,0.0583,0.499,8.1e-06,0.688,0.412,121.002,Pop
4qu63nuBpdn0qHUHuObEj1,0.721,0.738,-4.77,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,Pop
27OeeYzk6klgBh83TSvGMA,0.662,0.413,-7.357,0.0299,0.213,0,0.134,0.467,93.005,Latin Music
5HCyWlXZPP0y6Gqq8TgA20,0.591,0.764,-5.484,0.0483,0.0383,0,0.103,0.478,169.928,Alternative
6nL0wIy3rcQPqHNAtm61Gh,0.8,0.832,-5.497,0.266,0.087,0,0.322,0.736,106.983,Folk
3pFs5g6H6twH454xbaxHDM,0.536,0.821,-5.353,0.0897,7.61e-05,0.00443,0.619,0.36,127.991,Rap/Hip Hop
3JsmrruMp8AWcbEZ4342JY,0.7,0.816,-5.439,0.0361,0.091,0.119,0.0729,0.632,123.986,Rap/Hip Hop
3syIqcdNRjbFcWkEMRRT1d,0.75,0.95,-2.938,0.194,0.077,0.000332,0.161,0.623,81.019,Rap/Hip Hop
0FYc9DIr89rbzt2WJMvyou,0.912,0.655,-6.029,0.162,0.315,3.39e-05,0.0894,0.793,91.942,Pop
5cOyxjetBT7kRnqL68madd,0.764,0.705,-3.463,0.0284,0.259,8.92e-05,0.12,0.781,110.97,Alternative
5GQpKsz2Gn2PwbPIwHlRqv,0.416,0.623,-7.898,0.045,0.121,0.00225,0.27,0.194,130.175,Pop
3dd1Mjg1YpAaQPEaG26yUA,0.881,0.665,-9.487,0.117,0.294,0.0261,0.109,0.849,123.3,Pop
6x93hzBoL7HpirMN2P48co,0.469,0.697,-5.815,0.0312,0.0127,0.000116,0.329,0.362,149.921,Latin Music
7Ae5WP06rEQfq5tRqrST2j,0.515,0.463,-9.51,0.095,0.488,0,0.108,0.421,113.365,Alternative
2rFTRICumonxxZKxxfEu8R,0.894,0.615,-6.269,0.0826,0.0308,0.00921,0.309,0.661,120.0,Rap/Hip Hop
2lUWKnvCVCwfRgoS1olbgl,0.755,0.397,-13.156,0.168,0.801,0.0651,0.111,0.303,95.936,Alternative
03WMhty0KQ2ppU30LiyKy4,0.667,0.734,-9.891,0.318,0.61,0.0523,0.641,0.145,142.968,Pop
43bSOU2d9fFauUMbPual0S,0.661,0.62,-8.61,0.0851,0.0263,0,0.105,0.416,93.015,Pop
6pGeWf3SxSkpX8ZcvcbtYC,0.67,0.818,-5.503,0.0444,0.0241,0.000455,0.0685,0.644,94.013,Alternative
6rAcln9T5vEL3SSWWsFWIy,0.51,0.529,-6.983,0.225,0.123,3.05e-06,0.101,0.652,189.136,Rap/Hip Hop
5wJ9sSG7NItwu34jMnyxqa,0.665,0.788,-3.889,0.0857,0.142,0,0.317,0.63,80.476,Rap/Hip Hop
0k2HFzw2iQENrU2oWtVJEb,0.771,0.546,-6.096,0.149,0.119,9.33e-06,0.153,0.613,94.117,Alternative
1cioTI6lHVmW4UWKEi8ChG,0.666,0.599,-9.352,0.0305,0.259,0.000769,0.373,0.696,123.16,Pop
5G4W4UzaJIpYl0ar95Cs17,0.569,0.444,-10.097,0.0373,0.548,3.29e-05,0.119,0.515,71.426,Rap/Hip Hop
38mQZ5tZ6IylQaJCCF90ox,0.754,0.711,-3.842,0.072,0.336,0,0.128,0.27,138.031,Dance
1fzf9Aad4y1RWrmwosAK5y,0.588,0.85,-6.431,0.0318,0.168,0.00202,0.0465,0.768,93.003,Rap/Hip Hop
5Ne1q9Hv3l2NHBA3Agt8WT,0.695,0.656,-6.038,0.0489,0.057,0,0.267,0.346,90.986,Dance
65OVbaJR5O1RmwOQx0875b,0.578,0.449,-6.349,0.286,0.0618,2.17e-06,0.119,0.1,136.006,Rap/Hip Hop
4FRW5Nza1Ym91BGV4nFWXI,0.77,0.637,-5.53,0.345,0.103,0,0.171,0.431,94.966,Rap/Hip Hop
3aQem4jVGdhtg116TmJnHz,0.781,0.594,-6.959,0.0485,0.0136,0,0.162,0.0628,129.895,Rap/Hip Hop
5CZ40GBx1sQ9agT82CLQCT,0.38,0.339,-7.885,0.0338,0.691,0,0.12,0.0849,100.607,Rap/Hip Hop
4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,-5.044,0.154,0.335,0,0.0849,0.688,166.928,Rap/Hip Hop
1gihuPhrLraKYrJMAEONyc,0.707,0.924,-2.842,0.031,0.000972,0.00703,0.204,0.919,127.937,R&B
70hDklZStSazrExPjHJPfR,0.63,0.694,-6.593,0.313,0.419,0,0.134,0.44,91.749,Rap/Hip Hop
4o7sl87Ock4SGA8b3gRR2l,0.751,0.725,-4.495,0.0397,0.0755,0.00102,0.12,0.544,129.977,Electro
7C7yqFTM0ncyJ04GIKrxdV,0.702,0.781,-4.081,0.03,0.433,0,0.135,0.382,102.997,Alternative
4ZTTUAjJCd4NMZmIU7RB4c,0.587,0.648,-6.927,0.0439,0.0561,0,0.115,0.281,144.028,Pop
3liV7NpLWeAwmZem5uQl2j,0.694,0.625,-5.699,0.107,0.3,0,0.308,0.24,125.106,Pop
36HEbeiwJ2FkLHgBv0qEfV,0.893,0.668,-7.926,0.361,0.0955,0,0.0968,0.293,89.029,Dance
7ilwtjmDj6Xyx9Lp2LDFuq,0.744,0.73,-6.576,0.414,0.216,0,0.188,0.711,93.953,Dance
31YXuMBGIOeZQfAu1NxMbK,0.647,0.574,-7.029,0.102,0.053,0,0.113,0.0794,139.81,R&B
3cLc5HfEVkD78OA8Z6IEet,0.657,0.694,-6.109,0.349,0.12,0,0.62,0.244,198.674,Rap/Hip Hop
6fS4OTveYB2NExjc4o1I03,0.731,0.539,-8.689,0.037,0.533,0,0.371,0.629,100.041,Pop
42zd6DYQ4o4SECmTITrM1U,0.631,0.774,-2.459,0.3,0.468,0,0.281,0.44,79.745,Country
2ZDRA0S22sue6jpghf2qol,0.677,0.793,-4.157,0.0601,0.00854,3.59e-05,0.329,0.853,90.995,R&B
4BsLwvaJOTOHDNg7xMpvrL,0.767,0.392,-11.996,0.0945,0.154,0.000398,0.108,0.48,125.017,R&B
55uz6CCy6OT60yq5jf8ZfY,0.779,0.435,-11.0,0.117,0.476,0,0.141,0.249,139.988,Electro
5WYB4aZkflwjAApBoDCYkz,0.697,0.81,-5.128,0.0669,0.0424,0.000233,0.322,0.558,125.979,Dance
0avVdSMyZ22c4fCbnzJRT8,0.807,0.672,-7.364,0.0518,0.0407,0.0364,0.123,0.788,119.967,Pop
77BDJDKKWm11KXQh0Sv4Jf,0.817,0.776,-4.976,0.303,0.0453,0,0.158,0.718,124.03,Dance
1il2M59aOrRTaYEyF9OcqQ,0.749,0.815,-7.365,0.161,0.0216,0.26,0.346,0.571,114.987,Latin Music
4rVW6XqAsSaf5vOwc8FREW,0.557,0.585,-6.201,0.0431,0.036,0,0.176,0.305,63.392,Electro
2BwmVotuzB5dBokJzgeqLf,0.639,0.894,-3.26,0.0398,0.00016,0.128,0.197,0.961,126.989,Pop
3INNLgKkHn8HOodDulCd7x,0.707,0.882,-7.46,0.0384,0.0606,0.0132,0.105,0.208,125.005,Alternative
4UTZo8wsQ8qQhD6iPA3WdG,0.768,0.751,-4.865,0.0635,0.0177,0.00299,0.343,0.326,124.976,R&B
6fLlIJberJNX45w4xlvRUL,0.564,0.484,-9.201,0.345,0.579,0,0.36,0.495,116.332,Rap/Hip Hop
48jV8AW50589btXi0Hs5f4,0.745,0.387,-12.839,0.0327,0.179,0.00633,0.0736,0.772,95.985,Rap/Hip Hop
3hARuUtzTdUuWH1KiLJlSf,0.714,0.483,-9.378,0.195,0.436,2.3e-05,0.28,0.67,91.025,Dance
0T7aTl1t15HKHfwep4nANV,0.686,0.682,-7.656,0.0459,0.0443,0.0131,0.43,0.854,84.985,Rap/Hip Hop
6pskPJ0O1dr5ziM9Oyo4Ui,0.867,0.561,-6.671,0.078,0.0436,3.8e-06,0.402,0.833,104.007,Rap/Hip Hop
4xWmsJ6aZCOJqYCCiIFdLR,0.81,0.41,-6.087,0.2,0.688,0,0.124,0.821,97.918,Rap/Hip Hop
1AW0ZYsdlWXkNXeuMDqM1C,0.77,0.355,-14.712,0.105,0.447,0.0136,0.177,0.701,131.021,Rap/Hip Hop
63e35wfL6GMUp0boIvNBhw,0.78,0.721,-6.371,0.214,0.126,0.00235,0.078,0.824,178.036,Dance
2IFFKj9orAsQOOS0JRhHAW,0.884,0.653,-7.653,0.0586,0.371,0.00135,0.812,0.766,108.548,Rap/Hip Hop
0XQypgwTXf0LS7ZGx13XTA,0.75,0.819,-6.6,0.151,0.0674,0.000979,0.308,0.614,116.054,Rap/Hip Hop
6tqIes4TjudsjfIpK4P2Jh,0.809,0.613,-8.402,0.175,0.0685,0,0.107,0.562,104.991,Rap/Hip Hop
3aXVBYo7jW9CO1od4atawq,0.791,0.734,-3.27,0.0766,0.0148,3.76e-06,0.0942,0.772,119.004,Rap/Hip Hop
25ran9X0iBOYnxFdP6c28n,0.558,0.889,-3.945,0.102,0.191,0.000387,0.328,0.716,170.102,Rap/Hip Hop
5QGHOeBYDauPtC8yYD3wZZ,0.504,0.638,-4.177,0.302,0.14,0,0.0955,0.749,83.791,Electro
0N7uBJVtUegyKXKegKgjHX,0.548,0.76,-2.967,0.0317,0.0881,8.83e-05,0.315,0.58,94.068,Rap/Hip Hop
5JmJVj3qLsCnBsQ8IC9XLf,0.775,0.678,-6.915,0.0351,0.0112,0.0105,0.125,0.93,147.847,Rap/Hip Hop
1EiEPGecNb0Ctfc8z6ialX,0.757,0.705,-5.965,0.182,0.115,2.72e-06,0.0533,0.802,163.368,Rap/Hip Hop
7IbGa7PhnXHvUOvhELtGgL,0.48,0.429,-8.848,0.0479,0.355,0.0552,0.114,0.315,174.27,Rap/Hip Hop
5HsJGA8P5fPzR06i9FQKBr,0.477,0.511,-8.843,0.0734,0.638,2.57e-05,0.103,0.488,178.35,Rap/Hip Hop
61wUA5kA0F88dsakAPSjPg,0.81,0.471,-10.148,0.0496,0.639,0.00303,0.0774,0.525,111.972,Rap/Hip Hop
7lR4o63cpYr8zY3nBEPead,0.731,0.597,-7.661,0.0567,0.338,0.00114,0.0771,0.863,101.991,Rap/Hip Hop
7egu63DOhNpivWOpGtzqGS,0.433,0.614,-7.594,0.0499,0.111,5.61e-05,0.141,0.233,178.751,Pop
6RZmhpvukfyeSURhf4kZ0d,0.731,0.664,-5.474,0.0302,0.00307,0.35,0.133,0.661,118.018,Dance
1170VohRSx6GwE6QDCHPPH,0.329,0.444,-9.973,0.0417,0.0578,0.0352,0.113,0.225,162.279,Rap/Hip Hop
5uDohC8URXwbGiHAMuKGoa,0.734,0.518,-9.514,0.0813,0.556,0.00282,0.111,0.555,101.083,Rap/Hip Hop
4eA4z7FCy5Fp6mh8acV3GY,0.516,0.833,-3.046,0.108,0.116,0.000414,0.0993,0.605,166.007,Rap/Hip Hop
0H2EwgDNxFwBY6gPnVmuV2,0.453,0.551,-5.187,0.0323,0.487,0.000297,0.0825,0.135,180.118,Rap/Hip Hop
2WZtkWWGWjGMxQubujRiqZ,0.43,0.878,-5.061,0.0557,0.126,0.0417,0.123,0.571,195.908,Electro
3uxsrlRldPneshvxlXVcYS,0.754,0.792,-5.278,0.0429,0.0071,3.58e-06,0.153,0.791,118.024,Pop
4jJs2ohRchPCc7VrYWpjbN,0.625,0.696,-7.748,0.0316,0.243,0.000361,0.156,0.823,132.99,Country
3ee8Jmje8o58CHK66QrVC2,0.74,0.613,-4.88,0.145,0.258,0.00372,0.123,0.473,75.023,Rap/Hip Hop
