trackid,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label,genre
1kyfNUGFIVxIhLjEx1b3fE,0.65,0.927,-6.133,0.0428,0.0089,0.000251,0.187,0.215,110.919,electronic dance music,Electro
1NT0GM48rhAQLYXQbCj5oH,0.629,0.79,-5.384,0.0327,0.23,0.0,0.114,0.201,107.006,electronic dance music,Dance
1dwO3JXH2Orlq9dx3qX5tX,0.772,0.717,-7.179,0.0392,0.235,0.000212,0.0737,0.492,119.987,electronic dance music,Electro
66LNyfDQyuCVgczVJEdbRl,0.739,0.795,-7.248,0.0363,0.00693,0.0236,0.111,0.543,124.999,electronic dance music,Rap/Hip Hop
0j8kpwZMWUvKCIlfyAEXRt,0.56,0.277,-23.679,0.037,0.55,0.899,0.204,0.1,112.201,electronic dance music,Pop
1K9QXJtypYRMVrfHixmHh3,0.532,0.956,-0.902,0.591,0.0117,0.0,0.0528,0.613,150.016,electronic dance music,Dance
3wsc7ZbIdpLrGiY62Kpvs7,0.599,0.155,-13.913,0.047,0.668,0.907,0.35,0.321,81.604,electronic dance music,Dance
6lhZLbb0czULpjb2kFryPS,0.662,0.868,-4.025,0.0341,0.00882,0.00244,0.584,0.353,92.998,electronic dance music,Electro
2fudWGtEhrU0E7pW3SqPGM,0.736,0.802,-4.997,0.0321,0.0528,0.00624,0.175,0.282,125.016,electronic dance music,Dance
6boHExThLLf72F6Q057Qlf,0.509,0.942,-4.587,0.0518,0.00927,0.0001,0.262,0.25,150.03,electronic dance music,Electro
2URnJ0pGKPFpZowwVjKwPR,0.578,0.8,-3.57,0.038,0.112,1.04e-05,0.0888,0.584,119.992,electronic dance music,Electro
60wwxj6Dd9NJlirf84wr2c,0.509,0.781,-3.48,0.072,0.0398,0.0,0.0749,0.176,128.0,electronic dance music,Electro
1Vba1fnOgXyknfjvp94ZVA,0.893,0.531,-11.052,0.253,0.0235,0.302,0.268,0.291,125.986,electronic dance music,Dance
1yY7lnCZR0NcU2qPkLBC20,0.752,0.854,-5.353,0.0642,0.0822,0.000208,0.103,0.493,119.97,electronic dance music,Pop
1Sgs1KJe9d8CcHxglUMQ2o,0.587,0.857,-6.873,0.0867,0.0599,0.0,0.096,0.317,127.953,electronic dance music,Electro
5LRxdeykOfvKb1aWGrrGyo,0.766,0.611,-9.251,0.0542,0.112,0.000606,0.187,0.128,126.0,electronic dance music,Dance
0fkpq9RsWFrQRacqdIOCGf,0.705,0.686,-7.402,0.125,0.226,0.000318,0.612,0.139,121.996,electronic dance music,Dance
6KB5CalkuilzApUMnKpCAj,0.6,0.868,-2.612,0.0684,0.0076,0.0,0.126,0.378,168.169,electronic dance music,Dance
5IrbesAJuMbOooeJZXI6qs,0.866,0.437,-9.981,0.114,0.263,0.73,0.11,0.489,120.987,electronic dance music,Dance
4GKnjUqh8RGepRmGAsBswc,0.747,0.664,-6.018,0.0347,0.0096,0.00466,0.0828,0.208,126.007,electronic dance music,Dance
52P2TlbWFWzJI4mP1C5qoP,0.604,0.8,-4.233,0.0518,0.0958,0.0,0.243,0.702,124.002,electronic dance music,Dance
3Shi5fUIeuoNQWV0hjYXNs,0.697,0.935,-5.809,0.175,0.00625,0.006,0.236,0.728,124.023,electronic dance music,Electro
